"severity","type","rule","component","line","message","status"
"MAJOR","CODE_SMELL","css:S125","eatinity:eatinity-frontend/src/App.css","29","Remove this commented out code.","OPEN"
"MAJOR","CODE_SMELL","css:S7924","eatinity:eatinity-frontend/src/App.css","76","Text does not meet the minimal contrast requirement with its background.","OPEN"
"MAJOR","CODE_SMELL","css:S7924","eatinity:eatinity-frontend/src/App.css","99","Text does not meet the minimal contrast requirement with its background.","OPEN"
"MAJOR","CODE_SMELL","css:S7924","eatinity:eatinity-frontend/src/App.css","157","Text does not meet the minimal contrast requirement with its background.","OPEN"
"MAJOR","CODE_SMELL","css:S7924","eatinity:eatinity-frontend/src/App.css","217","Text does not meet the minimal contrast requirement with its background.","OPEN"
"MAJOR","CODE_SMELL","css:S7924","eatinity:eatinity-frontend/src/App.css","343","Text does not meet the minimal contrast requirement with its background.","OPEN"
"MAJOR","CODE_SMELL","css:S7924","eatinity:eatinity-frontend/src/App.css","431","Text does not meet the minimal contrast requirement with its background.","OPEN"
"MAJOR","CODE_SMELL","css:S7924","eatinity:eatinity-frontend/src/App.css","526","Text does not meet the minimal contrast requirement with its background.","OPEN"
"MAJOR","CODE_SMELL","css:S7924","eatinity:eatinity-frontend/src/App.css","547","Text does not meet the minimal contrast requirement with its background.","OPEN"
"MAJOR","CODE_SMELL","css:S7924","eatinity:eatinity-frontend/src/App.css","579","Text does not meet the minimal contrast requirement with its background.","OPEN"
"MAJOR","CODE_SMELL","css:S125","eatinity:eatinity-frontend/src/App.css","599","Remove this commented out code.","OPEN"
"MAJOR","CODE_SMELL","css:S125","eatinity:eatinity-frontend/src/App.css","610","Remove this commented out code.","OPEN"
"MAJOR","CODE_SMELL","css:S4666","eatinity:eatinity-frontend/src/App.css","680","Duplicate selector "".quantity-controls"", first used at line 511","OPEN"
"MAJOR","CODE_SMELL","css:S4666","eatinity:eatinity-frontend/src/App.css","687","Duplicate selector "".quantity-controls button"", first used at line 524","OPEN"
"MAJOR","CODE_SMELL","css:S7924","eatinity:eatinity-frontend/src/App.css","689","Text does not meet the minimal contrast requirement with its background.","OPEN"
"MAJOR","CODE_SMELL","css:S4666","eatinity:eatinity-frontend/src/App.css","698","Duplicate selector "".quantity-controls span"", first used at line 535","OPEN"
"MAJOR","CODE_SMELL","css:S4666","eatinity:eatinity-frontend/src/App.css","704","Duplicate selector "".delete-btn"", first used at line 545","OPEN"
"MAJOR","CODE_SMELL","css:S7924","eatinity:eatinity-frontend/src/App.css","706","Text does not meet the minimal contrast requirement with its background.","OPEN"
"MAJOR","CODE_SMELL","css:S7924","eatinity:eatinity-frontend/src/App.css","756","Text does not meet the minimal contrast requirement with its background.","OPEN"
"MAJOR","CODE_SMELL","css:S4666","eatinity:eatinity-frontend/src/App.css","760","Duplicate selector "".empty-cart"", first used at line 586","OPEN"
"MAJOR","CODE_SMELL","css:S125","eatinity:eatinity-frontend/src/App.css","765","Remove this commented out code.","OPEN"
"MAJOR","CODE_SMELL","css:S125","eatinity:eatinity-frontend/src/App.css","816","Remove this commented out code.","OPEN"
"MAJOR","CODE_SMELL","css:S4666","eatinity:eatinity-frontend/src/App.css","820","Duplicate selector "".cart-summary-box"", first used at line 713","OPEN"
"MAJOR","CODE_SMELL","css:S4666","eatinity:eatinity-frontend/src/App.css","978","Duplicate selector "".continue-btn"", first used at line 748","OPEN"
"MAJOR","CODE_SMELL","css:S7924","eatinity:eatinity-frontend/src/App.css","1121","Text does not meet the minimal contrast requirement with its background.","OPEN"
"MAJOR","CODE_SMELL","css:S7924","eatinity:eatinity-frontend/src/App.css","1145","Text does not meet the minimal contrast requirement with its background.","OPEN"
"MAJOR","CODE_SMELL","css:S7924","eatinity:eatinity-frontend/src/App.css","1306","Text does not meet the minimal contrast requirement with its background.","OPEN"
"MAJOR","CODE_SMELL","css:S7924","eatinity:eatinity-frontend/src/App.css","1434","Text does not meet the minimal contrast requirement with its background.","OPEN"
"MAJOR","CODE_SMELL","css:S7924","eatinity:eatinity-frontend/src/App.css","1521","Text does not meet the minimal contrast requirement with its background.","OPEN"
"MINOR","CODE_SMELL","javascript:S7754","eatinity:eatinity-frontend/src/App.jsx","36","Prefer `.some(â¦)` over `.find(â¦)`.","OPEN"
"MAJOR","CODE_SMELL","javascript:S2681","eatinity:eatinity-frontend/src/admin/components/AdminOrderDetails.jsx","44","This statement will not be executed conditionally; only the first statement will be. The rest will execute unconditionally.","OPEN"
"MAJOR","CODE_SMELL","javascript:S3358","eatinity:eatinity-frontend/src/admin/pages/AdminMenu.jsx","107","Extract this nested ternary operation into an independent statement.","OPEN"
"MAJOR","CODE_SMELL","javascript:S3358","eatinity:eatinity-frontend/src/admin/pages/AdminMenu.jsx","122","Extract this nested ternary operation into an independent statement.","OPEN"
"MAJOR","CODE_SMELL","javascript:S3358","eatinity:eatinity-frontend/src/admin/pages/AdminMenu.jsx","122","Extract this nested ternary operation into an independent statement.","OPEN"
"MAJOR","CODE_SMELL","css:S7924","eatinity:eatinity-frontend/src/admin/styles/admin.css","53","Text does not meet the minimal contrast requirement with its background.","OPEN"
"MAJOR","CODE_SMELL","css:S7924","eatinity:eatinity-frontend/src/admin/styles/admin.css","212","Text does not meet the minimal contrast requirement with its background.","OPEN"
"MINOR","CODE_SMELL","javascript:S7776","eatinity:eatinity-frontend/src/admin/utils/orderWorkflow.js","1","`MANAGEMENT_GROUPS` should be a `Set`, and use `MANAGEMENT_GROUPS.has()` to check existence or non-existence.","OPEN"
"MAJOR","CODE_SMELL","javascript:S1788","eatinity:eatinity-frontend/src/admin/utils/permissions.js","62","Default parameters should be last.","OPEN"
"MAJOR","CODE_SMELL","javascript:S6582","eatinity:eatinity-frontend/src/auth/authService.js","121","Prefer using an optional chain expression instead, as it's more concise and easier to read.","OPEN"
"MAJOR","CODE_SMELL","css:S125","eatinity:eatinity-frontend/src/index.css","24","Remove this commented out code.","OPEN"
"MAJOR","CODE_SMELL","javascript:S6772","eatinity:eatinity-frontend/src/pages/Account.jsx","94","Ambiguous spacing before next element input","OPEN"
"MAJOR","CODE_SMELL","javascript:S6772","eatinity:eatinity-frontend/src/pages/Account.jsx","104","Ambiguous spacing before next element input","OPEN"
"MAJOR","CODE_SMELL","javascript:S6772","eatinity:eatinity-frontend/src/pages/Account.jsx","114","Ambiguous spacing before next element input","OPEN"
"MAJOR","CODE_SMELL","javascript:S6772","eatinity:eatinity-frontend/src/pages/Addresses.jsx","96","Ambiguous spacing before next element input","OPEN"
"MAJOR","CODE_SMELL","javascript:S6772","eatinity:eatinity-frontend/src/pages/Addresses.jsx","100","Ambiguous spacing before next element input","OPEN"
"MAJOR","CODE_SMELL","javascript:S6772","eatinity:eatinity-frontend/src/pages/Addresses.jsx","104","Ambiguous spacing before next element input","OPEN"
"MAJOR","CODE_SMELL","javascript:S6772","eatinity:eatinity-frontend/src/pages/Addresses.jsx","108","Ambiguous spacing before next element input","OPEN"
"MAJOR","CODE_SMELL","javascript:S3358","eatinity:eatinity-frontend/src/pages/Orders.jsx","85","Extract this nested ternary operation into an independent statement.","OPEN"
"MAJOR","CODE_SMELL","javascript:S3358","eatinity:eatinity-frontend/src/pages/Orders.jsx","87","Extract this nested ternary operation into an independent statement.","OPEN"
"MAJOR","CODE_SMELL","javascript:S3358","eatinity:eatinity-frontend/src/pages/SignIn.jsx","115","Extract this nested ternary operation into an independent statement.","OPEN"
"MAJOR","CODE_SMELL","javascript:S3358","eatinity:eatinity-frontend/src/pages/SignIn.jsx","116","Extract this nested ternary operation into an independent statement.","OPEN"
"BLOCKER","VULNERABILITY","terraform:S6333","eatinity:eatinity-iac/modules/application/api_gateway.tf","102","Make sure creating a public API is safe here.","OPEN"
"BLOCKER","VULNERABILITY","terraform:S6333","eatinity:eatinity-iac/modules/application/api_gateway.tf","108","Make sure creating a public API is safe here.","OPEN"
"BLOCKER","VULNERABILITY","terraform:S6304","eatinity:eatinity-iac/modules/application/iam.tf","34","Make sure granting access to all resources is safe here.","OPEN"
"BLOCKER","VULNERABILITY","terraform:S6304","eatinity:eatinity-iac/modules/application/iam.tf","39","Make sure granting access to all resources is safe here.","OPEN"
"MAJOR","VULNERABILITY","terraform:S6258","eatinity:eatinity-iac/modules/delivery/main.tf","9","Omitting ""logging_config"" makes logs incomplete. Make sure it is safe here.","OPEN"
"MAJOR","VULNERABILITY","terraform:S6258","eatinity:eatinity-iac/modules/storage/main.tf","1","Make sure that disabling logging is safe here.","OPEN"
"MINOR","VULNERABILITY","terraform:S6249","eatinity:eatinity-iac/modules/storage/main.tf","1","No bucket policy enforces HTTPS-only access to this bucket.","OPEN"
"MAJOR","VULNERABILITY","terraform:S6258","eatinity:eatinity-iac/modules/storage/main.tf","34","Make sure that disabling logging is safe here.","OPEN"
"MINOR","VULNERABILITY","terraform:S6249","eatinity:eatinity-iac/modules/storage/main.tf","34","No bucket policy enforces HTTPS-only access to this bucket.","OPEN"
"CRITICAL","VULNERABILITY","terraform:S6281","eatinity:eatinity-iac/modules/storage/main.tf","61","Disabling public access block settings allows public ACL/policies to be set on this S3 bucket.","OPEN"
"BLOCKER","VULNERABILITY","terraform:S6270","eatinity:eatinity-iac/modules/storage/main.tf","75","Make sure granting public access is safe here.","OPEN"
"MAJOR","BUG","python:S7618","eatinity:eatinity-prod/lambda/admin_audit/admin_audit.py","10","Set an explicit timeout for this network call to prevent hanging executions in Lambda functions.","OPEN"
"MAJOR","BUG","python:S7618","eatinity:eatinity-prod/lambda/admin_menu/admin_menu.py","12","Set an explicit timeout for this network call to prevent hanging executions in Lambda functions.","OPEN"
"MAJOR","BUG","python:S7618","eatinity:eatinity-prod/lambda/admin_menu/admin_menu.py","16","Set an explicit timeout for this network call to prevent hanging executions in Lambda functions.","OPEN"
"CRITICAL","CODE_SMELL","python:S1192","eatinity:eatinity-prod/lambda/admin_menu/admin_menu.py","247","Define a constant instead of duplicating this literal ""attribute_exists(id)"" 3 times.","OPEN"
"CRITICAL","CODE_SMELL","python:S1192","eatinity:eatinity-prod/lambda/admin_menu/admin_menu.py","251","Define a constant instead of duplicating this literal "":actor"" 3 times.","OPEN"
"CRITICAL","CODE_SMELL","python:S3776","eatinity:eatinity-prod/lambda/admin_menu/admin_menu.py","327","Refactor this function to reduce its Cognitive Complexity from 42 to the 15 allowed.","OPEN"
"CRITICAL","CODE_SMELL","python:S1192","eatinity:eatinity-prod/lambda/admin_menu/admin_menu.py","369","Define a constant instead of duplicating this literal ""Product not found."" 4 times.","OPEN"
"MAJOR","BUG","python:S7618","eatinity:eatinity-prod/lambda/admin_orders/admin_orders.py","11","Set an explicit timeout for this network call to prevent hanging executions in Lambda functions.","OPEN"
"MAJOR","BUG","python:S7618","eatinity:eatinity-prod/lambda/admin_orders/admin_orders.py","14","Set an explicit timeout for this network call to prevent hanging executions in Lambda functions.","OPEN"
"CRITICAL","CODE_SMELL","python:S1192","eatinity:eatinity-prod/lambda/admin_orders/admin_orders.py","23","Define a constant instead of duplicating this literal ""Out for Delivery"" 5 times.","OPEN"
"CRITICAL","CODE_SMELL","python:S1192","eatinity:eatinity-prod/lambda/admin_orders/admin_orders.py","23","Define a constant instead of duplicating this literal ""Ready for Pickup"" 6 times.","OPEN"
"CRITICAL","CODE_SMELL","python:S1192","eatinity:eatinity-prod/lambda/admin_orders/admin_orders.py","24","Define a constant instead of duplicating this literal ""Picked Up"" 3 times.","OPEN"
"CRITICAL","CODE_SMELL","python:S3776","eatinity:eatinity-prod/lambda/admin_orders/admin_orders.py","138","Refactor this function to reduce its Cognitive Complexity from 16 to the 15 allowed.","OPEN"
"CRITICAL","CODE_SMELL","python:S3776","eatinity:eatinity-prod/lambda/admin_orders/admin_orders.py","249","Refactor this function to reduce its Cognitive Complexity from 19 to the 15 allowed.","OPEN"
"MAJOR","BUG","python:S7618","eatinity:eatinity-prod/lambda/admin_users/admin_users.py","10","Set an explicit timeout for this network call to prevent hanging executions in Lambda functions.","OPEN"
"MAJOR","BUG","python:S7618","eatinity:eatinity-prod/lambda/admin_users/admin_users.py","11","Set an explicit timeout for this network call to prevent hanging executions in Lambda functions.","OPEN"
"CRITICAL","CODE_SMELL","python:S3776","eatinity:eatinity-prod/lambda/admin_users/admin_users.py","233","Refactor this function to reduce its Cognitive Complexity from 20 to the 15 allowed.","OPEN"
"MAJOR","BUG","python:S7618","eatinity:eatinity-prod/lambda/products/get_products.py","7","Set an explicit timeout for this network call to prevent hanging executions in Lambda functions.","OPEN"
"MAJOR","BUG","python:S7618","eatinity:eatinity-prod/lambda/sales_reports/sales_reports.py","12","Set an explicit timeout for this network call to prevent hanging executions in Lambda functions.","OPEN"
"MAJOR","BUG","python:S7618","eatinity:eatinity-prod/lambda/stripe_checkout/create_checkout_session.py","18","Set an explicit timeout for this network call to prevent hanging executions in Lambda functions.","OPEN"
"MAJOR","CODE_SMELL","python:S6243","eatinity:eatinity-prod/lambda/stripe_checkout/create_checkout_session.py","18","Initialize this AWS client outside the Lambda handler function.","OPEN"
"MAJOR","BUG","python:S7618","eatinity:eatinity-prod/lambda/stripe_checkout/create_checkout_session.py","23","Set an explicit timeout for this network call to prevent hanging executions in Lambda functions.","OPEN"
"CRITICAL","CODE_SMELL","python:S3776","eatinity:eatinity-prod/lambda/stripe_checkout/create_checkout_session.py","63","Refactor this function to reduce its Cognitive Complexity from 20 to the 15 allowed.","OPEN"
"MAJOR","CODE_SMELL","python:S112","eatinity:eatinity-prod/lambda/stripe_checkout/create_checkout_session.py","131","Replace this generic exception class with a more specific one.","OPEN"
"MAJOR","CODE_SMELL","python:S112","eatinity:eatinity-prod/lambda/stripe_checkout/create_checkout_session.py","133","Replace this generic exception class with a more specific one.","OPEN"
"MAJOR","CODE_SMELL","python:S112","eatinity:eatinity-prod/lambda/stripe_checkout/create_checkout_session.py","135","Replace this generic exception class with a more specific one.","OPEN"
"MAJOR","CODE_SMELL","python:S112","eatinity:eatinity-prod/lambda/stripe_checkout/create_checkout_session.py","156","Replace this generic exception class with a more specific one.","OPEN"
"MAJOR","CODE_SMELL","python:S112","eatinity:eatinity-prod/lambda/stripe_checkout/create_checkout_session.py","158","Replace this generic exception class with a more specific one.","OPEN"
"MAJOR","BUG","python:S7618","eatinity:eatinity-prod/lambda/stripe_webhook/process_stripe_webhook.py","19","Set an explicit timeout for this network call to prevent hanging executions in Lambda functions.","OPEN"
"MAJOR","CODE_SMELL","python:S6243","eatinity:eatinity-prod/lambda/stripe_webhook/process_stripe_webhook.py","19","Initialize this AWS client outside the Lambda handler function.","OPEN"
"MAJOR","BUG","python:S7618","eatinity:eatinity-prod/lambda/stripe_webhook/process_stripe_webhook.py","24","Set an explicit timeout for this network call to prevent hanging executions in Lambda functions.","OPEN"
"MAJOR","BUG","python:S7618","eatinity:eatinity-prod/lambda/stripe_webhook/process_stripe_webhook.py","25","Set an explicit timeout for this network call to prevent hanging executions in Lambda functions.","OPEN"
"MAJOR","BUG","python:S7618","eatinity:eatinity-prod/lambda/stripe_webhook/process_stripe_webhook.py","26","Set an explicit timeout for this network call to prevent hanging executions in Lambda functions.","OPEN"
"CRITICAL","CODE_SMELL","python:S3776","eatinity:eatinity-prod/lambda/stripe_webhook/process_stripe_webhook.py","100","Refactor this function to reduce its Cognitive Complexity from 21 to the 15 allowed.","OPEN"
"MAJOR","CODE_SMELL","python:S112","eatinity:eatinity-prod/lambda/stripe_webhook/process_stripe_webhook.py","148","Replace this generic exception class with a more specific one.","OPEN"
"MAJOR","CODE_SMELL","python:S112","eatinity:eatinity-prod/lambda/stripe_webhook/process_stripe_webhook.py","154","Replace this generic exception class with a more specific one.","OPEN"
"MAJOR","BUG","python:S7618","eatinity:eatinity-prod/lambda/user_profile/user_profile.py","10","Set an explicit timeout for this network call to prevent hanging executions in Lambda functions.","OPEN"
